"machine_id","line_id","risk_band","maintenance_priority_recommendation","top_risk_driver"
"M006","L3","Critical","Urgent maintenance review","Temperature"
"M023","L2","High","Preventive maintenance","Cycle time drift"
"M009","L3","High","Preventive maintenance","Cycle time drift"
"M005","L2","Low","Monitor","Cycle time drift"
"M018","L3","Low","Monitor","Vibration"
"M024","L3","Low","Monitor","Cycle time drift"
"M028","L1","Low","Monitor","Cycle time drift"
"M001","L1","Low","Monitor","Cycle time drift"
"M002","L2","Medium","Schedule inspection","Vibration"
"M013","L1","Medium","Schedule inspection","Cycle time drift"
"M010","L1","Medium","Schedule inspection","Cycle time drift"
"M015","L3","Medium","Schedule inspection","Cycle time drift"
"M030","L3","Medium","Schedule inspection","Vibration"
"M003","L3","Medium","Schedule inspection","Cycle time drift"
"M004","L1","Medium","Schedule inspection","Vibration"
"M020","L2","Medium","Schedule inspection","Vibration"
"M026","L2","Medium","Schedule inspection","Cycle time drift"
"M012","L3","Medium","Schedule inspection","Vibration"
"M017","L2","Medium","Schedule inspection","Vibration"
"M027","L3","Medium","Schedule inspection","Vibration"
